HandlingTime,AttackRate,NumberPersist,MinPrey,MinPred
0.0192,0.016,100,422.682889998496,194.562233529056
0.0256,0.016,100,441.39489454749,200.817761997623
0.032,0.016,100,461.910254541208,207.487121100262
0.0384,0.016,100,484.734534904726,214.550902456455
0.0448,0.016,100,510.467956812872,222.0386477232
0.0512,0.016,100,538.488793560723,229.833525594571
0.0576,0.016,100,569.84652862764,238.022994658858
0.064,0.016,100,605.483877321442,246.537419253687
0.0704,0.016,100,645.812220285195,255.306376409125
0.0768,0.016,100,691.886517957279,264.134155229594
0.0832,0.016,100,744.769885802657,272.707522132896
0.0896,0.016,100,807.551675856193,280.682764738491
0.096,0.016,100,883.689272449291,287.666694138705
0.1024,0.016,100,970.518544875599,291.081895300928
0.1088,0.016,100,1078.36156951982,289.630699279375
0.1152,0.016,100,1212.89224367866,278.197501783058
0.1216,0.016,100,1385.47539497432,247.997123400186
0.128,0.016,100,1614.97222664393,180.846637319233
0.1344,0.016,64,1935.3850627895,35.6015401813709
0.1408,0.016,0,1998.4225252234,1.57410749861894e-15
0.1472,0.016,0,1998.42252559278,1.37190400763188e-33
0.1536,0.016,0,1998.42252559277,2.01223830028419e-50
0.16,0.016,0,1998.42252559277,3.89996783881499e-66
0.0064,0.02,100,310.945204891281,153.349132296413
0.0128,0.02,100,323.607270467921,158.440609465346
0.0192,0.02,100,337.485853141399,163.956595169599
0.0256,0.02,100,352.54385710004,169.763777702942
0.032,0.02,100,368.378706934712,175.830887098496
0.0384,0.02,100,381.914086756679,181.571218251563
0.0448,0.02,100,214.168053417188,146.775093050512
0.0512,0.02,100,152.539745030128,130.450236461099
0.0576,0.02,100,139.075856223993,126.34661798363
0.064,0.02,100,137.879120804886,126.9466430952
0.0704,0.02,99,150.042612252789,131.677839143855
0.0768,0.02,100,165.749499651163,138.346940506451
0.0832,0.02,100,205.315320506624,152.571522520144
0.0896,0.02,100,284.257422347408,177.674993595978
0.096,0.02,100,433.503503730821,217.232179953912
0.1024,0.02,100,769.925723250074,276.395643821199
0.1088,0.02,100,859.757944993862,285.760709427725
0.1152,0.02,100,967.615701361121,291.023042005844
0.1216,0.02,100,1108.22145369011,288.125000410316
0.128,0.02,100,1291.69158665474,266.577245743869
0.1344,0.02,100,1548.18838316849,203.56014424514
0.1408,0.02,71,1931.42718827283,37.7796560851397
0.1472,0.02,0,1997.79210423665,6.05384349338014e-16
0.1536,0.02,0,1998.42252559279,5.56310707070309e-34
0.16,0.02,0,1998.42252559276,8.64571991197868e-51
0.0064,0.024,100,258.770057451829,131.683903967573
0.0128,0.024,100,269.457970352409,136.311888152257
0.0192,0.024,100,280.833361745345,141.192203528285
0.0256,0.024,100,291.473377124662,146.067095214868
0.032,0.024,97,124.202611016559,106.897291014482
0.0384,0.024,92,60.0078168511402,83.8145840395677
0.0448,0.024,91,44.1781159333052,76.1111795197529
0.0512,0.024,88,36.7657056248114,72.1003587780442
0.0576,0.024,83,34.2456255305014,70.4983845250193
0.064,0.024,83,27.9776100868597,66.0933839452627
0.0704,0.024,77,34.635044386955,70.7833572977665
0.0768,0.024,79,33.6682298990066,69.9916345859724
0.0832,0.024,80,43.0062532609121,75.8499640773891
0.0896,0.024,85,49.4996267918409,79.6898236807283
0.096,0.024,92,67.715599413657,89.4750685628103
0.1024,0.024,92,117.269619301762,112.378693698982
0.1088,0.024,98,232.344602334617,155.782271479079
0.1152,0.024,98,631.062563614261,256.576699490068
0.1216,0.024,99,920.517123921431,289.543403936575
0.128,0.024,99,1075.88459285432,289.709418288888
0.1344,0.024,100,1289.8929528936,266.885041840491
0.1408,0.024,100,1609.401159916,182.837521555737
0.1472,0.024,0,1997.97527079231,0.00148625993967758
0.1536,0.024,0,1998.42252559266,2.27800681055401e-22
0.16,0.024,0,1998.42252559277,5.71605904174667e-40
0.0064,0.028,100,221.928170580499,115.305243776275
