"SpaceClearanceRate","HandlingTime","QualResult","Eigenvalue1","Eigenvalue2","ComplexPart"
0.04000000000000001,0.07680000000000001,"Unstable",0.45081765578635014,0.45081765578635014,0
0.04000000000000001,0.08320000000000001,"Unstable",0.4806886581469646,0.4806886581469646,0
0.04000000000000001,0.08960000000000001,"Unstable",0.5043596885813155,0.5043596885813155,0
0.04000000000000001,0.096,"Unstable",0.5201462264150947,0.5201462264150947,0
0.04000000000000001,0.1024,"Unstable",0.5256927385892116,0.5256927385892116,0
0.04000000000000001,0.10880000000000001,"Unstable",0.5176016129032261,0.5176016129032261,0
0.04000000000000001,0.11520000000000001,"Unstable",0.49078523316062217,0.49078523316062217,0
0.04000000000000001,0.12160000000000001,"Unstable",0.43726597633136155,0.43726597633136155,0
0.04000000000000001,0.128,"Unstable",0.34378448275862095,0.34378448275862095,0
0.04000000000000001,0.1344,"Unstable",0.18656157024793438,0.18656157024793438,0
0.04000000000000001,0.1408,"True",-0.08171597938144284,-0.08171597938144284,0.4021722251893232
0.04000000000000001,0.1472,"False",-1.0582117519720233,-0.08295126172660457,0
0.04000000000000001,0.1536,"False",-3.206101567745397,-0.0022270036831742225,0
0.04000000000000001,0.16,"NoPosSolution","NA","NA","NA"
0.044,0.0064,"True",-0.0616477537437605,-0.0616477537437605,1.3683485434188654
0.044,0.0128,"True",-0.004770080352922952,-0.004770080352922952,1.339968442968568
0.044,0.019200000000000002,"Unstable",0.05121162255466046,0.05121162255466046,0
0.044,0.0256,"Unstable",0.10617540814572932,0.10617540814572932,0
0.044,0.032,"Unstable",0.15997614761476112,0.15997614761476112,0
0.044,0.038400000000000004,"Unstable",0.212439746739747,0.212439746739747,0
0.044,0.044800000000000006,"Unstable",0.263355540083549,0.263355540083549,0
0.044,0.0512,"Unstable",0.31246615578416936,0.31246615578416936,0
0.044,0.057600000000000005,"Unstable",0.35945381195821313,0.35945381195821313,0
0.044,0.064,"Unstable",0.4039214876033056,0.4039214876033056,0
0.044,0.0704,"Unstable",0.44536658272475443,0.44536658272475443,0
0.044,0.07680000000000001,"Unstable",0.4831433234421366,0.4831433234421366,0
0.044,0.08320000000000001,"Unstable",0.5164078710426954,0.5164078710426954,0
0.044,0.08960000000000001,"Unstable",0.5440360805284681,0.5440360805284681,0
0.044,0.096,"Unstable",0.5644965694682675,0.5644965694682675,0
0.044,0.1024,"Unstable",0.5756479441720105,0.5756479441720105,0
0.044,0.10880000000000001,"Unstable",0.5744014662756601,0.5744014662756601,0
0.044,0.11520000000000001,"Unstable",0.5561320301460202,0.5561320301460202,0
0.044,0.12160000000000001,"Unstable",0.5135872512103282,0.5135872512103282,0
0.044,0.128,"Unstable",0.434713166144201,0.434713166144201,0
0.044,0.1344,"Unstable",0.29789233658903247,0.29789233658903247,0
0.044,0.1408,"Unstable",0.060112746016870895,0.060112746016870895,0
0.044,0.1472,"False",-0.5805330143185384,-0.1758697254074868,0
0.044,0.1536,"False",-2.615220861358321,-0.008205112667630394,0
0.044,0.16,"NoPosSolution","NA","NA","NA"
0.048,0.0064,"True",-0.05091044093178049,-0.05091044093178049,1.3731416995358245
0.048,0.0128,"Unstable",0.006827426343154084,0.006827426343154084,0
0.048,0.019200000000000002,"Unstable",0.06374398734177222,0.06374398734177222,0
0.048,0.0256,"Unstable",0.11972745746691854,0.11972745746691854,0
0.048,0.032,"Unstable",0.17464480198019794,0.17464480198019794,0
