HandlingTime,AttackRate,NumberPersist,MinPrey,MinPred
0.47,0.02,0,199.842252559278,2.54947353254999e-158
0.49,0.02,0,199.842252559277,4.2681850940603e-168
0.01,0.03,100,67.8267719358991,78.4472809750041
0.03,0.03,100,70.683132446751,79.9936067289762
0.05,0.03,100,73.878804879282,81.507390450315
0.07,0.03,100,77.2973217030005,82.9606542852411
0.09,0.03,100,81.1196998955773,84.3793787150348
0.11,0.03,100,85.2571140682518,85.5453313683903
0.13,0.03,100,89.9227984047133,86.5644673539376
0.15,0.03,100,95.2095028522429,87.2744928789808
0.17,0.03,100,100.821268273315,87.4477817820764
0.19,0.03,100,107.335699509815,86.9519408765667
0.21,0.03,100,114.735279701089,85.4733935750293
0.23,0.03,100,123.324966444089,82.6628883329527
0.25,0.03,100,133.205797290744,77.7638974298439
0.27,0.03,98,144.797726687755,69.8295189285969
0.29,0.03,97,158.594583244558,57.3140995217665
0.31,0.03,75,175.294449354151,37.701555839614
0.33,0.03,11,195.872472098716,6.72936895933264
0.35,0.03,0,199.842252518624,3.0885899631051e-16
0.37,0.03,0,199.842252559279,7.40793358417337e-35
0.39,0.03,0,199.842252559278,3.12310852866061e-52
0.41,0.03,0,199.842252559278,1.98479884193997e-68
0.43,0.03,0,199.842252559278,1.4968047526617e-83
0.45,0.03,0,199.842252559278,1.06555728697165e-97
0.47,0.03,0,199.842252559277,5.82651354149944e-111
0.49,0.03,0,199.842252559278,2.03674828503879e-123
0.01,0.04,95,50.9952848455288,66.4888058076232
0.03,0.04,94,53.042555617065,68.2380099508291
0.05,0.04,99,55.4760251318967,70.1694270144907
0.07,0.04,94,57.9968440634708,72.0661584551324
0.09,0.04,91,60.8221127078,74.0502879544999
0.11,0.04,98,63.9380409967936,76.0970045866377
0.13,0.04,99,67.429948679001,78.1979394488552
0.15,0.04,100,71.1915572652597,80.2408095388312
0.17,0.04,96,75.6219461799778,82.3004422270487
0.19,0.04,100,80.6017026498201,84.1944388139234
0.21,0.04,99,85.9759505930312,85.7045015962122
0.23,0.04,99,92.3432665237832,86.9254233216258
0.25,0.04,99,99.8203432441245,87.4133611652153
0.27,0.04,100,108.564402237231,86.7673334301458
0.29,0.04,100,118.896855755336,84.2962622841281
0.31,0.04,99,131.445754146169,78.7616724325498
0.33,0.04,97,146.924958131096,68.1163961053981
0.35,0.04,84,166.525457109643,48.6083059363512
0.37,0.04,31,192.145788240926,12.9434803803173
0.39,0.04,0,199.84225227263,1.45686248786541e-14
0.41,0.04,0,199.842252559279,2.61961956927891e-33
0.43,0.04,0,199.842252559279,8.47862423300753e-51
0.45,0.04,0,199.842252559279,4.26500414600316e-67
0.47,0.04,0,199.842252559278,2.61178595886551e-82
0.49,0.04,0,199.842252559278,1.54264963803881e-96
0.01,0.05,67,40.7178808233409,56.7752548005339
0.03,0.05,67,42.4235982841362,58.5291183253659
0.05,0.05,65,44.3372319128202,60.4062298900868
0.07,0.05,75,46.3799777374095,62.3772193550772
0.09,0.05,69,48.6088837011333,64.4391244176039
0.11,0.05,68,51.0732093703803,66.6040557274878
0.13,0.05,76,53.8064727167849,68.8881667298016
0.15,0.05,65,56.846960060421,71.2790912553788
0.17,0.05,69,60.2875302681135,73.763778638267
0.19,0.05,73,64.1683930295754,76.3198551920151
0.21,0.05,80,68.6364651732176,78.9096891696469
0.23,0.05,82,73.7944476095993,81.473637620698
0.25,0.05,92,79.7386952681041,83.8638563238208
0.27,0.05,84,86.8849965593239,85.9795257119132
0.29,0.05,90,95.0592794983495,87.2623035626456
0.31,0.05,97,105.187536206903,87.2194684345391
0.33,0.05,99,117.503315567008,84.7470776931778
0.35,0.05,97,133.197364308617,77.7679320626451
0.37,0.05,92,153.70842985702,62.126148597004
0.39,0.05,64,181.617099283886,28.9243636685055
0.41,0.05,0,199.842172352024,1.18920996473251e-09
0.43,0.05,0,199.842252559279,1.04898782324707e-28
0.45,0.05,0,199.842252559278,1.61395865594452e-46
0.47,0.05,0,199.842252559279,4.12831379331332e-63
0.49,0.05,0,199.842252559278,1.37311180412617e-78
0.01,0.06,48,33.9032335229408,49.3369272092872
0.03,0.06,39,35.3661507471381,50.9808390559584
0.05,0.06,23,36.891983204449,52.7107620671847
0.07,0.06,34,38.5705421649583,54.5748770293662
0.09,0.06,23,40.4623824527325,56.5695441955157
0.11,0.06,22,42.4847431869064,58.6713274970094
0.13,0.06,24,44.6504691899963,60.8653792051652
0.15,0.06,23,46.7029755745539,63.0086619781084
0.17,0.06,18,39.4616879407724,59.9151839011456
0.19,0.06,21,33.3749233758421,56.79613703221
0.21,0.06,26,34.7866360510716,58.3967653809099
